Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/9/16 10:00,2016,1,9,10,29,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 11:00,2016,1,9,11,31,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 12:00,2016,1,9,12,37,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 13:00,2016,1,9,13,44,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 14:00,2016,1,9,14,44,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 15:00,2016,1,9,15,32,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 16:00,2016,1,9,16,48,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 17:00,2016,1,9,17,57,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 18:00,2016,1,9,18,87,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 19:00,2016,1,9,19,102,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 20:00,2016,1,9,20,144,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 21:00,2016,1,9,21,173,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 22:00,2016,1,9,22,164,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 23:00,2016,1,9,23,124,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 0:00,2016,1,10,0,83,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 1:00,2016,1,10,1,70,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 2:00,2016,1,10,2,61,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 3:00,2016,1,10,3,44,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 4:00,2016,1,10,4,28,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 5:00,2016,1,10,5,25,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 6:00,2016,1,10,6,26,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 7:00,2016,1,10,7,25,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 8:00,2016,1,10,8,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 9:00,2016,1,10,9,24,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 10:00,2016,1,10,10,39,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 11:00,2016,1,10,11,43,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 12:00,2016,1,10,12,55,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 13:00,2016,1,10,13,63,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 14:00,2016,1,10,14,50,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 15:00,2016,1,10,15,74,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 16:00,2016,1,10,16,69,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 17:00,2016,1,10,17,67,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 18:00,2016,1,10,18,68,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 19:00,2016,1,10,19,69,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 20:00,2016,1,10,20,76,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 21:00,2016,1,10,21,29,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 22:00,2016,1,10,22,20,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/10/16 23:00,2016,1,10,23,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 0:00,2016,1,11,0,15,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 1:00,2016,1,11,1,17,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 2:00,2016,1,11,2,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 3:00,2016,1,11,3,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 4:00,2016,1,11,4,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 5:00,2016,1,11,5,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 6:00,2016,1,11,6,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 7:00,2016,1,11,7,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 8:00,2016,1,11,8,13,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 9:00,2016,1,11,9,13,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 10:00,2016,1,11,10,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 11:00,2016,1,11,11,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 12:00,2016,1,11,12,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 13:00,2016,1,11,13,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 14:00,2016,1,11,14,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 15:00,2016,1,11,15,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 16:00,2016,1,11,16,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 17:00,2016,1,11,17,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 18:00,2016,1,11,18,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 19:00,2016,1,11,19,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 20:00,2016,1,11,20,18,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/11/16 21:00,2016,1,11,21,12,µg/m_,1 Hr,Valid
